name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Dirk Nowitzki","Dallas Mavericks",2018-01-09,2017,609,1610612742,400975347,2,10,03,0,"Driving Floating Bank Jump Shot","2PT Field Goal",2,"Orlando Magic",-27,7,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-14,2017,609,1610612742,400975168,3,10,11,0,"Fadeaway Jump Shot","2PT Field Goal",13,"Golden State Warriors",-101,86,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-27,2017,609,1610612742,400975476,4,10,32,0,"Fadeaway Jump Shot","2PT Field Goal",13,"Denver Nuggets",118,60,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-27,2017,609,1610612742,400975476,1,9,39,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Denver Nuggets",-26,177,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-03,2017,609,1610612742,400974876,1,7,09,0,"Fadeaway Jump Shot","2PT Field Goal",14,"New Orleans Pelicans",135,46,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-26,2017,609,1610612742,400975245,3,6,52,1,"Fadeaway Jump Shot","2PT Field Goal",12,"Toronto Raptors",-125,26,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-26,2017,609,1610612742,400975467,1,10,06,0,"Fadeaway Jump Shot","2PT Field Goal",14,"Portland Trail Blazers",-96,103,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-09,2017,609,1610612742,400975347,3,7,11,0,"Fadeaway Jump Shot","2PT Field Goal",11,"Orlando Magic",116,14,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-10,2017,609,1610612742,400975349,1,1,38,1,"Fadeaway Jump Shot","2PT Field Goal",10,"Charlotte Hornets",-30,105,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-29,2017,609,1610612742,400975061,2,10,44,0,"Fadeaway Jump Shot","2PT Field Goal",12,"Brooklyn Nets",128,-4,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-29,2017,609,1610612742,400975488,3,9,21,0,"Fadeaway Jump Shot","2PT Field Goal",10,"Miami Heat",34,104,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-27,2017,609,1610612742,400975253,1,9,02,1,"Fadeaway Jump Shot","2PT Field Goal",14,"Indiana Pacers",134,58,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-09,2017,609,1610612742,400975347,3,10,35,1,"Fadeaway Jump Shot","2PT Field Goal",11,"Orlando Magic",115,10,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-29,2017,609,1610612742,400975488,2,10,25,0,"Fadeaway Jump Shot","2PT Field Goal",13,"Miami Heat",8,133,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-24,2017,609,1610612742,400975839,1,8,34,1,"Fadeaway Jump Shot","2PT Field Goal",12,"Charlotte Hornets",37,117,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-29,2017,609,1610612742,400975271,1,10,47,1,"Fadeaway Jump Shot","2PT Field Goal",10,"New Orleans Pelicans",63,89,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-22,2017,609,1610612742,400975011,1,1,18,0,"Fadeaway Jump Shot","2PT Field Goal",13,"Memphis Grizzlies",-132,12,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-18,2017,609,1610612742,400974705,4,9,38,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Atlanta Hawks",-2,154,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-21,2017,609,1610612742,400974783,1,9,08,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Houston Rockets",-60,153,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-03,2017,609,1610612742,400974876,1,5,19,0,"Fadeaway Jump Shot","2PT Field Goal",12,"New Orleans Pelicans",96,76,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-12,2017,609,1610612742,400975153,3,6,38,0,"Fadeaway Jump Shot","2PT Field Goal",11,"San Antonio Spurs",-66,99,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-18,2017,609,1610612742,400974705,2,11,51,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Atlanta Hawks",160,30,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-22,2017,609,1610612742,400975439,1,11,18,1,"Fadeaway Jump Shot","2PT Field Goal",13,"Washington Wizards",131,4,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-03,2017,609,1610612742,400975308,1,0,55,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Golden State Warriors",-27,172,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-26,2017,609,1610612742,400974817,4,5,09,0,"Fadeaway Jump Shot","2PT Field Goal",10,"Memphis Grizzlies",70,79,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-26,2017,609,1610612742,400975245,1,10,17,1,"Fadeaway Jump Shot","2PT Field Goal",14,"Toronto Raptors",127,68,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-11,2017,609,1610612742,400974932,3,10,14,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Cleveland Cavaliers",100,115,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-16,2017,609,1610612742,400975397,1,11,17,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Denver Nuggets",143,134,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-26,2017,609,1610612742,400974817,2,10,42,1,"Fadeaway Jump Shot","2PT Field Goal",13,"Memphis Grizzlies",3,130,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-04,2017,609,1610612742,400975692,1,2,29,1,"Fadeaway Jump Shot","2PT Field Goal",12,"New Orleans Pelicans",-93,90,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-10,2017,609,1610612742,400975576,3,10,22,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Los Angeles Lakers",40,187,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-30,2017,609,1610612742,400974849,3,9,18,0,"Fadeaway Jump Shot","2PT Field Goal",11,"Utah Jazz",60,101,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-22,2017,609,1610612742,400975822,2,8,27,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Utah Jazz",77,176,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-03,2017,609,1610612742,400975308,4,6,15,0,"Fadeaway Jump Shot","2PT Field Goal",9,"Golden State Warriors",50,82,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-08,2017,609,1610612742,400975123,2,11,14,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Milwaukee Bucks",-82,136,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-25,2017,609,1610612742,400974812,2,9,38,0,"Fadeaway Jump Shot","2PT Field Goal",11,"Memphis Grizzlies",101,50,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-20,2017,609,1610612742,400974776,4,10,58,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Sacramento Kings",171,8,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-30,2017,609,1610612742,400975880,1,5,54,1,"Fadeaway Jump Shot","2PT Field Goal",20,"Minnesota Timberwolves",-36,201,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-27,2017,609,1610612742,400975476,1,8,11,0,"Fadeaway Jump Shot","2PT Field Goal",14,"Denver Nuggets",-145,11,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-08,2017,609,1610612742,400975561,3,9,14,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Golden State Warriors",9,159,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-09,2017,609,1610612742,400975347,4,6,24,1,"Fadeaway Jump Shot","2PT Field Goal",13,"Orlando Magic",-65,119,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-13,2017,609,1610612742,400975597,2,7,59,1,"Fadeaway Jump Shot","2PT Field Goal",12,"Sacramento Kings",117,44,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-20,2017,609,1610612742,400975428,1,0,40,1,"Fadeaway Jump Shot","2PT Field Goal",11,"Portland Trail Blazers",106,34,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-06,2017,609,1610612742,400975107,4,5,41,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Boston Celtics",-141,130,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-04,2017,609,1610612742,400974885,1,2,31,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Minnesota Timberwolves",-127,102,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-14,2017,609,1610612742,400974954,2,9,02,1,"Fadeaway Jump Shot","2PT Field Goal",13,"San Antonio Spurs",8,133,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-06,2017,609,1610612742,400975107,2,10,05,0,"Fadeaway Jump Shot","2PT Field Goal",9,"Boston Celtics",-90,14,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-04,2017,609,1610612742,400975098,2,10,19,0,"Fadeaway Jump Shot","2PT Field Goal",20,"Denver Nuggets",92,183,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-03,2017,609,1610612742,400974876,2,0,13,0,"Fadeaway Jump Shot","2PT Field Goal",19,"New Orleans Pelicans",-122,153,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-26,2017,609,1610612742,400974817,4,4,28,0,"Fadeaway Jump Shot","2PT Field Goal",13,"Memphis Grizzlies",-63,121,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-29,2017,609,1610612742,400975488,4,6,34,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Miami Heat",79,158,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-26,2017,609,1610612742,400974817,3,11,26,1,"Jump Bank Shot","2PT Field Goal",14,"Memphis Grizzlies",107,94,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-12,2017,609,1610612742,400975153,2,9,58,0,"Jump Bank Shot","2PT Field Goal",4,"San Antonio Spurs",31,34,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-21,2017,609,1610612742,400974783,3,7,52,0,"Jump Bank Shot","2PT Field Goal",8,"Houston Rockets",86,22,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-13,2017,609,1610612742,400975597,4,1,57,1,"Jump Bank Shot","2PT Field Goal",10,"Sacramento Kings",-98,38,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-18,2017,609,1610612742,400974705,4,10,06,1,"Jump Bank Shot","2PT Field Goal",2,"Atlanta Hawks",-27,8,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-16,2017,609,1610612742,400975777,1,8,21,0,"Jump Bank Shot","3PT Field Goal",25,"Toronto Raptors",3,255,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-13,2017,609,1610612742,400975373,1,2,39,0,"Jump Bank Shot","3PT Field Goal",25,"Los Angeles Lakers",80,243,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-28,2017,609,1610612742,400975869,2,7,29,0,"Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",41,253,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-28,2017,609,1610612742,400975869,3,9,26,1,"Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",-144,201,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-28,2017,609,1610612742,400975869,3,9,05,0,"Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",-58,252,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-28,2017,609,1610612742,400975869,1,6,42,1,"Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",-150,211,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-28,2017,609,1610612742,400975869,3,7,38,1,"Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",-167,179,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-28,2017,609,1610612742,400975869,3,11,48,1,"Jump Shot","2PT Field Goal",21,"Los Angeles Lakers",-63,205,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-08,2017,609,1610612742,400975561,2,1,43,1,"Jump Shot","3PT Field Goal",22,"Golden State Warriors",228,24,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-08,2017,609,1610612742,400975561,1,1,34,1,"Jump Shot","2PT Field Goal",16,"Golden State Warriors",5,169,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-08,2017,609,1610612742,400975561,1,7,23,1,"Jump Shot","2PT Field Goal",18,"Golden State Warriors",130,137,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-08,2017,609,1610612742,400975561,1,8,17,1,"Jump Shot","2PT Field Goal",14,"Golden State Warriors",145,25,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-08,2017,609,1610612742,400975561,1,2,12,0,"Jump Shot","3PT Field Goal",26,"Golden State Warriors",-48,258,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-08,2017,609,1610612742,400975561,2,11,03,0,"Jump Shot","2PT Field Goal",20,"Golden State Warriors",110,173,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-08,2017,609,1610612742,400975561,3,8,21,0,"Jump Shot","3PT Field Goal",26,"Golden State Warriors",-99,249,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-08,2017,609,1610612742,400975561,3,6,35,1,"Jump Shot","2PT Field Goal",17,"Golden State Warriors",-30,170,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-08,2017,609,1610612742,400975561,1,10,39,0,"Jump Shot","3PT Field Goal",25,"Golden State Warriors",-9,257,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-14,2017,609,1610612742,400974954,1,8,56,0,"Jump Shot","3PT Field Goal",25,"San Antonio Spurs",85,237,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-14,2017,609,1610612742,400974954,2,11,25,1,"Jump Shot","2PT Field Goal",19,"San Antonio Spurs",-4,199,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-14,2017,609,1610612742,400974954,3,10,08,0,"Jump Shot","3PT Field Goal",25,"San Antonio Spurs",-33,257,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-14,2017,609,1610612742,400974954,1,0,34,0,"Jump Shot","3PT Field Goal",24,"San Antonio Spurs",25,248,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-21,2017,609,1610612742,400974783,3,10,52,0,"Jump Shot","3PT Field Goal",25,"Houston Rockets",-149,207,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-21,2017,609,1610612742,400974783,1,9,43,0,"Jump Shot","3PT Field Goal",27,"Houston Rockets",-35,273,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-21,2017,609,1610612742,400974783,2,11,18,0,"Jump Shot","2PT Field Goal",12,"Houston Rockets",-64,109,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-21,2017,609,1610612742,400974783,1,8,21,0,"Jump Shot","2PT Field Goal",19,"Houston Rockets",72,184,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-21,2017,609,1610612742,400974783,3,9,26,0,"Jump Shot","2PT Field Goal",18,"Houston Rockets",-6,186,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-16,2017,609,1610612742,400975397,1,10,09,1,"Jump Shot","2PT Field Goal",14,"Denver Nuggets",-145,4,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-20,2017,609,1610612742,400975000,3,10,38,1,"Jump Shot","2PT Field Goal",19,"Boston Celtics",79,179,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-20,2017,609,1610612742,400975000,3,11,13,1,"Jump Shot","2PT Field Goal",17,"Boston Celtics",98,146,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-20,2017,609,1610612742,400975000,1,10,52,0,"Jump Shot","2PT Field Goal",21,"Boston Celtics",84,200,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-20,2017,609,1610612742,400975000,2,9,56,0,"Jump Shot","2PT Field Goal",15,"Boston Celtics",14,156,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-20,2017,609,1610612742,400975000,4,11,17,0,"Jump Shot","3PT Field Goal",25,"Boston Celtics",-9,259,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-20,2017,609,1610612742,400975000,5,1,49,0,"Jump Shot","2PT Field Goal",13,"Boston Celtics",135,34,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-20,2017,609,1610612742,400975000,4,2,19,1,"Jump Shot","2PT Field Goal",17,"Boston Celtics",-25,175,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-05,2017,609,1610612742,400975318,2,6,29,1,"Jump Shot","2PT Field Goal",19,"Chicago Bulls",-107,168,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-05,2017,609,1610612742,400975318,2,9,33,0,"Jump Shot","2PT Field Goal",13,"Chicago Bulls",-133,27,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-05,2017,609,1610612742,400975318,4,7,13,1,"Jump Shot","3PT Field Goal",25,"Chicago Bulls",134,215,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-05,2017,609,1610612742,400975318,4,6,03,0,"Jump Shot","2PT Field Goal",15,"Chicago Bulls",49,150,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-05,2017,609,1610612742,400975318,4,6,45,1,"Jump Shot","3PT Field Goal",24,"Chicago Bulls",-108,219,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-22,2017,609,1610612742,400975225,2,0,05,0,"Jump Shot","3PT Field Goal",24,"Miami Heat",122,217,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-22,2017,609,1610612742,400975225,3,2,30,1,"Jump Shot","3PT Field Goal",27,"Miami Heat",46,272,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-22,2017,609,1610612742,400975225,1,0,32,0,"Jump Shot","3PT Field Goal",28,"Miami Heat",-205,197,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-22,2017,609,1610612742,400975225,2,1,51,1,"Jump Shot","3PT Field Goal",25,"Miami Heat",-169,194,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-22,2017,609,1610612742,400975225,4,10,53,1,"Jump Shot","3PT Field Goal",25,"Miami Heat",19,255,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-22,2017,609,1610612742,400975225,1,1,22,0,"Jump Shot","3PT Field Goal",25,"Miami Heat",-190,169,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-22,2017,609,1610612742,400975225,1,2,28,1,"Jump Shot","2PT Field Goal",16,"Miami Heat",125,109,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-22,2017,609,1610612742,400975225,1,8,56,0,"Jump Shot","2PT Field Goal",19,"Miami Heat",-116,158,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-22,2017,609,1610612742,400975225,1,7,30,1,"Jump Shot","3PT Field Goal",25,"Miami Heat",-29,251,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-22,2017,609,1610612742,400975225,1,11,21,0,"Jump Shot","3PT Field Goal",25,"Miami Heat",-103,236,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-22,2017,609,1610612742,400975225,2,8,45,0,"Jump Shot","3PT Field Goal",25,"Miami Heat",-166,194,0,0.00,,0.00,0.00
